report_id,entity_type,entity_value,analytical_relevance
TRN03002,ips,198.51.100.143,Extracted from investigation report text
TRN03002,domains,node-3002-sync.example,Extracted from investigation report text
TRN03003,ips,198.51.100.144,Extracted from investigation report text
TRN03003,domains,node-3003-sync.example,Extracted from investigation report text
TRN03004,ips,198.51.100.145,Extracted from investigation report text
TRN03004,domains,node-3004-sync.example,Extracted from investigation report text
TRN03005,ips,198.51.100.146,Extracted from investigation report text
TRN03005,domains,node-3005-sync.example,Extracted from investigation report text
TRN03007,ips,198.51.100.148,Extracted from investigation report text
TRN03007,domains,node-3007-sync.example,Extracted from investigation report text
TRN03008,ips,198.51.100.149,Extracted from investigation report text
TRN03008,domains,node-3008-sync.example,Extracted from investigation report text
TRN03010,ips,198.51.100.151,Extracted from investigation report text
TRN03010,domains,node-3010-sync.example,Extracted from investigation report text
TRN03013,ips,198.51.100.154,Extracted from investigation report text
TRN03013,domains,node-3013-sync.example,Extracted from investigation report text
TRN03017,ips,198.51.100.158,Extracted from investigation report text
TRN03017,domains,node-3017-sync.example,Extracted from investigation report text
TRN03036,ips,198.51.100.177,Extracted from investigation report text
TRN03036,domains,node-3036-sync.example,Extracted from investigation report text
TRN03037,ips,198.51.100.178,Extracted from investigation report text
TRN03037,domains,node-3037-sync.example,Extracted from investigation report text
TRN03040,ips,198.51.100.181,Extracted from investigation report text
TRN03040,domains,node-3040-sync.example,Extracted from investigation report text
TRN03045,ips,198.51.100.186,Extracted from investigation report text
TRN03045,domains,node-3045-sync.example,Extracted from investigation report text
TRN03049,ips,198.51.100.190,Extracted from investigation report text
TRN03049,domains,node-3049-sync.example,Extracted from investigation report text
TRN03050,ips,198.51.100.191,Extracted from investigation report text
TRN03050,domains,node-3050-sync.example,Extracted from investigation report text
TRN03053,ips,198.51.100.194,Extracted from investigation report text
TRN03053,domains,node-3053-sync.example,Extracted from investigation report text
TRN03056,ips,198.51.100.197,Extracted from investigation report text
TRN03056,domains,node-3056-sync.example,Extracted from investigation report text
TRN03059,ips,198.51.100.200,Extracted from investigation report text
TRN03059,domains,node-3059-sync.example,Extracted from investigation report text
TRN03061,ips,198.51.100.202,Extracted from investigation report text
